City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
31,waitangi,-43.9535,-176.5597,11.01,88,100,0.89,NZ,1682302359
32,alofi,-19.0595,-169.9187,25.81,64,8,5.08,NU,1682302359
33,port lincoln,-34.7333,135.8667,22.11,50,0,4.96,AU,1682302359
34,nagqu,31.5,92.0,-3.65,23,100,3.5,CN,1682302360
35,bredasdorp,-34.5322,20.0403,18.26,84,100,2.26,ZA,1682302360
36,college,64.8569,-147.8028,-8.01,65,100,9.26,US,1682302360
37,usogorsk,63.4106,48.6872,-3.25,89,100,1.5,RU,1682302360
38,mount pearl,47.5166,-52.7813,2.69,95,100,4.02,CA,1682302360
39,anadyr,64.75,177.4833,-4.72,85,40,11.0,RU,1682302360
40,longyearbyen,78.2186,15.6401,-9.09,73,0,3.09,SJ,1682302360
41,ushuaia,-54.8,-68.3,7.81,53,20,1.54,AR,1682302221
42,callao,-12.0667,-77.15,24.84,73,0,6.17,PE,1682302360
43,puerto baquerizo moreno,-0.9,-89.6,25.81,81,49,4.43,EC,1682302361
44,tomatlan,19.9333,-105.25,21.37,72,43,1.41,MX,1682302361
45,whitney,36.0708,-115.0842,28.73,18,75,4.63,US,1682302361
46,enewetak,11.3474,162.3373,27.06,83,99,8.81,MH,1682302361
47,atherton,53.5237,-2.4935,7.34,77,35,0.45,GB,1682302361
48,yarmouth,41.7057,-70.2286,11.26,95,100,4.12,US,1682302361
49,molchanovo,57.5817,83.7692,4.19,88,100,4.41,RU,1682302361
50,limulunga,-15.0969,23.1376,21.61,61,100,1.85,ZM,1682302361
51,puerto natales,-51.7236,-72.4875,7.01,98,100,1.16,CL,1682302362
52,meulaboh,4.1363,96.1285,27.42,82,99,1.61,ID,1682302362
53,adamstown,-25.066,-130.1015,24.17,88,95,6.35,PN,1682302362
54,tiksi,71.6872,128.8694,-6.68,88,31,2.32,RU,1682302362
55,albany,42.6001,-73.9662,8.86,86,100,7.15,US,1682302108
56,papatowai,-46.5619,169.4708,12.01,60,31,8.48,NZ,1682302362
57,morondava,-20.2833,44.2833,21.67,86,0,1.54,MG,1682302362
58,meizhou,24.2977,116.1072,25.13,84,96,1.16,CN,1682302362
59,edinburgh of the seven seas,-37.0676,-12.3116,15.54,57,95,11.08,SH,1682302363
60,naze,28.3667,129.4833,20.15,78,28,6.45,JP,1682302363
61,hermanus,-34.4187,19.2345,17.82,94,100,3.17,ZA,1682302363
62,kogalym,62.2654,74.4791,-1.66,87,100,10.7,RU,1682302363
63,sorong,-0.8833,131.25,28.94,72,17,2.26,ID,1682302363
64,amga,60.8953,131.9608,-1.69,85,100,4.89,RU,1682302337
65,glendive,47.1053,-104.7125,7.79,42,0,3.09,US,1682302363
66,hawaiian paradise park,19.5933,-154.9731,26.73,72,75,5.66,US,1682302363
67,hilo,19.7297,-155.09,26.85,77,75,5.66,US,1682302364
68,kodiak,57.79,-152.4072,2.73,41,100,8.23,US,1682302269
69,galliano,29.4422,-90.2992,22.0,56,0,3.6,US,1682302364
70,kalyandurg,14.5452,77.1055,27.14,49,0,4.12,IN,1682302364
71,port mathurin,-19.6833,63.4167,26.23,80,17,8.95,MU,1682302364
72,ilulissat,69.2167,-51.1,0.01,100,100,2.57,GL,1682302364
73,kapa'a,22.0752,-159.319,26.99,82,100,4.12,US,1682302364
74,dompu,-8.5356,118.4622,30.29,67,38,1.75,ID,1682302364
75,pindushi,62.9152,34.58,0.68,99,100,1.94,RU,1682302365
76,walvis bay,-22.9575,14.5053,16.16,53,94,1.73,NA,1682302365
77,san antonio de pale,-1.4014,5.6325,27.58,78,100,4.1,GQ,1682302365
78,olonkinbyen,70.9221,-8.7187,-4.79,63,89,7.22,SJ,1682302365
79,afaahiti,-17.75,-149.2833,25.59,87,100,4.63,PF,1682302365
80,panama city beach,30.1766,-85.8055,21.15,72,0,1.54,US,1682302365
81,sao gabriel da cachoeira,-0.1303,-67.0892,23.27,96,32,0.92,BR,1682302196
82,mahavelona,-17.6848,49.5087,23.53,92,1,1.74,MG,1682302365
83,tokar,18.4254,37.729,27.02,87,99,3.28,SD,1682302365
84,bethel,41.3712,-73.414,11.22,86,0,1.54,US,1682302366
85,harstad,68.799,16.5293,-3.55,87,15,1.79,NO,1682302366
86,pionerskiy,54.9508,20.2275,8.91,98,100,1.81,RU,1682302366
87,utrik,11.2278,169.8474,27.0,82,36,9.27,MH,1682302366
88,tura,25.5198,90.2201,25.72,47,6,0.97,IN,1682302366
89,wailua homesteads,22.0669,-159.378,26.24,83,100,4.12,US,1682302366
90,trebisacce,39.8708,16.5312,10.75,59,4,2.59,IT,1682302366
91,mangrol,21.1167,70.1167,25.89,74,92,3.64,IN,1682302366
92,blackmans bay,-43.0167,147.3167,18.18,51,4,0.35,AU,1682302367
93,marsabit,2.3284,37.9899,18.21,75,77,1.76,KE,1682302367
94,rakops,-21.0167,24.3333,21.25,27,62,3.75,BW,1682302367
95,lebu,-37.6167,-73.65,11.26,86,6,4.27,CL,1682302367
96,susuman,62.7833,148.1667,-3.31,72,100,8.08,RU,1682302367
97,lewiston orchards,46.3804,-116.9754,14.17,71,100,6.17,US,1682302367
98,bubaque,11.2833,-15.8333,26.13,66,10,5.84,GW,1682302367
99,vilyuchinsk,52.9306,158.4028,5.15,78,99,8.68,RU,1682302337
100,nieuw amsterdam,5.8833,-55.0833,24.09,93,100,1.18,SR,1682302368
101,west island,-12.1568,96.8225,27.99,83,75,5.14,CC,1682302368
102,mahebourg,-20.4081,57.7,24.58,82,71,3.16,MU,1682302368
103,keflavik,64.0049,-22.5624,3.24,75,75,1.03,IS,1682302368
104,dudinka,69.4058,86.1778,1.46,82,76,5.81,RU,1682302368
105,la'ie,21.6477,-157.9253,28.98,66,100,1.19,US,1682302368
106,ribeira grande,38.5167,-28.7,17.65,96,100,7.15,PT,1682302368
107,zvezdnyy,57.7325,56.3147,4.33,77,100,1.06,RU,1682302368
108,rio grande,-32.035,-52.0986,20.02,87,100,5.84,BR,1682302122
109,weno,7.4515,151.8468,31.97,79,40,1.54,FM,1682302369
110,sona,45.4388,10.8255,15.48,78,40,4.12,IT,1682302369
111,tupiza,-21.45,-65.7167,12.91,34,1,1.83,BO,1682302369
112,badger,64.8,-147.5333,-8.05,65,100,9.26,US,1682302369
113,margaret river,-33.95,115.0667,13.62,66,84,7.34,AU,1682302369
114,whitehorse,60.7161,-135.0538,5.61,75,100,2.68,CA,1682302369
115,minas de marcona,-15.2119,-75.1103,17.85,79,0,4.14,PE,1682302369
116,kiunga,-6.1219,141.2906,28.62,68,99,1.2,PG,1682302369
117,zaozersk,69.4005,32.4476,-6.27,87,17,5.45,RU,1682302370
118,macapa,0.0389,-51.0664,24.99,100,75,1.03,BR,1682302370
119,sur,22.5667,59.5289,28.93,55,100,4.17,OM,1682302370
120,tazovsky,67.4667,78.7,-0.04,97,100,7.18,RU,1682302370
121,burela de cabo,43.65,-7.4,13.31,89,50,2.66,ES,1682302370
122,ugoofaaru,5.6667,73.0,29.38,70,100,5.47,MV,1682302370
123,faya-largeau,17.9257,19.1043,28.07,8,1,1.46,TD,1682302370
124,chibougamau,49.9168,-74.3659,3.07,99,100,2.45,CA,1682302371
125,weligama,5.9667,80.4167,26.82,84,98,0.73,LK,1682302371
126,zapolyarnyy,69.4154,30.8136,-4.4,93,19,2.58,RU,1682302371
127,dondo,-19.6094,34.7431,17.85,90,22,1.17,MZ,1682302371
128,port saint john's,-31.6229,29.5448,19.57,65,95,2.79,ZA,1682302371
129,stanley,54.868,-1.6985,4.18,89,75,5.14,GB,1682302371
130,iqaluit,63.7506,-68.5145,0.39,99,100,0.89,CA,1682302068
131,ta`u,-14.2336,-169.5144,27.0,76,26,2.73,AS,1682302371
